method,reward
Base,21.0
Base,17.0
Base,14.0
Base,21.0
Base,21.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,14.0
Base,14.0
Base,14.0
Base,17.0
Base,14.0
Base,17.0
Base,14.0
Base,17.0
Base,21.0
Base,17.0
Base,21.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,14.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,14.0
Base,17.0
Base,21.0
Base,17.0
Base,14.0
Base,21.0
Base,14.0
Base,14.0
Base,17.0
Base,17.0
Base,21.0
Base,21.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,14.0
Base,21.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,14.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,14.0
Base,14.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,21.0
Base,21.0
Base,14.0
Base,14.0
Base,14.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,14.0
Base,21.0
Base,21.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,21.0
Base,14.0
Base,14.0
Base,17.0
Base,21.0
Base,14.0
Base,21.0
Base,14.0
Base,14.0
Base,14.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,14.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,21.0
Base,21.0
Base,17.0
Base,17.0
Base,21.0
Base,21.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,21.0
Base,21.0
Base,14.0
Base,17.0
Base,14.0
Base,21.0
Base,17.0
Base,21.0
Base,21.0
Base,17.0
Base,14.0
Base,21.0
Base,17.0
Base,14.0
Base,14.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,21.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,14.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,14.0
Base,21.0
Base,14.0
Base,17.0
Base,14.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,14.0
Base,21.0
Base,21.0
Base,21.0
Base,17.0
Base,21.0
Base,17.0
Base,21.0
Base,21.0
Base,17.0
Base,21.0
Base,21.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,14.0
Base,14.0
Base,21.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,21.0
Base,14.0
Base,17.0
Base,21.0
Base,21.0
Base,21.0
Base,21.0
Base,21.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,14.0
Base,17.0
Base,14.0
Base,17.0
Base,21.0
Base,17.0
Base,21.0
Base,17.0
Base,21.0
Base,21.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,21.0
Base,14.0
Base,21.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,14.0
Base,14.0
Base,14.0
Base,14.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,14.0
Base,17.0
Base,21.0
Base,14.0
Base,17.0
Base,17.0
Base,21.0
Base,21.0
Base,14.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,21.0
Base,14.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,17.0
Base,14.0
Base,21.0
Base,14.0
Base,21.0
Base,14.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,14.0
Base,14.0
Base,21.0
Base,21.0
Base,21.0
Base,14.0
Base,17.0
Base,21.0
Base,17.0
Base,14.0
Base,21.0
Base,21.0
Base,14.0
Base,21.0
Base,17.0
Base,14.0
Base,17.0
Base,21.0
Base,14.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,14.0
Base,14.0
Base,14.0
Base,14.0
Base,14.0
Base,17.0
Base,17.0
Base,17.0
Base,17.0
Base,21.0
Base,14.0
Base,14.0
Base,14.0
Base,17.0
Base,14.0
Base,14.0
Base,21.0
Base,17.0
Base,17.0
Base,21.0
Base,14.0
Base,17.0
Base,17.0
Base,21.0
Base,14.0
Base,14.0
Base,21.0
Base,14.0
Base,17.0
Base,21.0
Base,17.0
Base,17.0
Base,14.0
Base,21.0
Base,14.0
